ae,id_ae,name_ae
Agricultura,A10_01,"Agricultura, ganadería, silvicultura y pesca"
Industria,A10_02,Industria
Industria,A10_02_O,"Resto de sectores de industrias extractivas; industria manufacturera; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua; actividades de saneamiento, gestión de residuos y descontaminación"
Construcción,A10_03,Construcción
Servicios,A10_04,Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería
Servicios,A10_04_O,Resto de sectores de comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería
Resto de servicios,A10_05,Información y comunicaciones
Resto de servicios,A10_06,Actividades financieras y de seguros
Resto de servicios,A10_07,Actividades inmobiliarias
Resto de servicios,A10_08,"Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares"
Resto de servicios,A10_09,Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales
Resto de servicios,A10_09_O,Resto de sectores de administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales
Resto de servicios,A10_10,"Actividades artísticas, recreativas y de entretenimiento y otros servicios"
Resto de servicios,A10_10_O,"Resto de sectores de actividades artísticas, recreativas y de entretenimiento y otros servicios"
Agricultura,A21_01,"Agricultura, ganadería, silvicultura y pesca"
Industria,A21_02,Industrias extractivas
Industria,A21_03,Industria manufacturera
Industria,A21_03_O,Resto de sectores de industria manufacturera
Industria,A21_04,"Suministro de energía eléctrica, gas, vapor y aire acondicionado"
Industria,A21_05,"Suministro de agua; actividades de saneamiento, gestión de residuos y descontaminación"
Construcción,A21_06,Construcción
Comercio,A21_07,Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas
Resto de servicios,A21_08,Transporte y almacenamiento
Hostelería,A21_09,Hostelería
Resto de servicios,A21_10,Información y comunicaciones
Resto de servicios,A21_10_O,Resto de sectores de información y comunicaciones
Resto de servicios,A21_11,Actividades financieras y de seguros
Resto de servicios,A21_12,Actividades inmobiliarias
Resto de servicios,A21_13,"Actividades profesionales, científicas y técnicas"
Resto de servicios,A21_13_O,"Resto de sectores de actividades profesionales, científicas y técnicas"
Resto de servicios,A21_14,Actividades administrativas y servicios auxiliares
Resto de servicios,A21_15,Administración pública y defensa; seguridad social obligatoria
Resto de servicios,A21_16,Educación
Resto de servicios,A21_17,Actividades sanitarias y de servicios sociales
Resto de servicios,A21_18,"Actividades artísticas, recreativas y de entretenimiento"
Resto de servicios,A21_19,Otros servicios
Resto de servicios,A21_20,Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio
Resto de servicios,A21_21,Actividades de organizaciones y organismos extraterritoriales
Agricultura,A3_01,"Agricultura, ganadería, silvicultura y pesca"
Industria,A3_02,Industria y construcción
Servicios,A3_03,Servicios
Agricultura,A38_01,"Agricultura, ganadería, silvicultura y pesca"
Agricultura,A38_01_O,"Resto de sectores de agricultura, ganadería, silvicultura y pesca"
Industria,A38_02,Industrias extractivas
Industria,A38_03,"Industria de la alimentación, bebidas y tabaco"
