,code,A,Q,M
1,demografia,2019,NA,NA
2,demografia,2018,NA,NA
3,demografia,2017,NA,NA
4,demografia,2016,NA,NA
5,demografia,2015,NA,NA
6,demografia,2014,NA,NA
7,demografia,2013,NA,NA
8,demografia,2012,NA,NA
9,demografia,2011,NA,NA
10,demografia,2010,NA,NA
11,demografia,2009,NA,NA
12,demografia,2008,NA,NA
13,demografia,2007,NA,NA
14,demografia,2006,NA,NA
15,demografia,2005,NA,NA
16,demografia,2004,NA,NA
17,demografia,2003,NA,NA
18,demografia,2002,NA,NA
19,demografia,2001,NA,NA
20,paro,2021,NA,Mayo
21,paro,2021,NA,Abril
22,paro,2021,NA,Marzo
23,paro,2021,NA,Febrero
24,paro,2021,NA,Enero
25,paro,2020,NA,Diciembre
26,paro,2020,NA,Noviembre
27,paro,2020,NA,Octubre
28,paro,2020,NA,Septiembre
29,paro,2020,NA,Agosto
30,paro,2020,NA,Julio
31,paro,2020,NA,Junio
32,paro,2020,NA,Mayo
33,paro,2020,NA,Abril
34,paro,2020,NA,Marzo
35,paro,2020,NA,Febrero
36,paro,2020,NA,Enero
37,paro,2019,NA,Diciembre
38,paro,2019,NA,Noviembre
39,paro,2019,NA,Octubre
40,paro,2019,NA,Septiembre
41,paro,2019,NA,Agosto
42,paro,2019,NA,Julio
43,paro,2019,NA,Junio
44,paro,2019,NA,Mayo
45,paro,2019,NA,Abril
46,paro,2019,NA,Marzo
47,paro,2019,NA,Febrero
48,paro,2019,NA,Enero
49,paro,2018,NA,Diciembre
50,paro,2018,NA,Noviembre
51,paro,2018,NA,Octubre
52,paro,2018,NA,Septiembre
53,paro,2018,NA,Agosto
54,paro,2018,NA,Julio
55,paro,2018,NA,Junio
56,paro,2018,NA,Mayo
57,paro,2018,NA,Abril
58,paro,2018,NA,Marzo
59,paro,2018,NA,Febrero
60,paro,2018,NA,Enero
61,paro,2017,NA,Diciembre
62,paro,2017,NA,Noviembre
63,paro,2017,NA,Octubre
64,paro,2017,NA,Septiembre
65,paro,2017,NA,Agosto
66,paro,2017,NA,Julio
67,paro,2017,NA,Junio
68,paro,2017,NA,Mayo
69,paro,2017,NA,Abril
70,paro,2017,NA,Marzo
71,paro,2017,NA,Febrero
72,paro,2017,NA,Enero
73,paro,2016,NA,Diciembre
74,paro,2016,NA,Noviembre
75,paro,2016,NA,Octubre
76,paro,2016,NA,Septiembre
77,paro,2016,NA,Agosto
78,paro,2016,NA,Julio
79,paro,2016,NA,Junio
80,paro,2016,NA,Mayo
