name;extension;url;fichas;periodico
cl_area;xml;https://datos.canarias.es/api/estadisticas/structural-resources/v1.0/codelists/ISTAC/CL_AREA_ES70_COMARCAS/01.000/codes;demografia paro_registrado afiliacion_residencia afiliacion_cotizacion presupuestos alojamientos_turisticos perfil_turista gastos_medios_turista gastos_medios_turista_dia europeas congreso senado autonomicas cabildo municipales parque_vehiculos sector_primario;0
mapa;json;https://datos.canarias.es/catalogos/estadisticas/dataset/6dd8baf4-14f4-43a3-88b2-984d034c965c/resource/812f22ae-62a5-4cea-8052-b0269b1bd491/download/municipios_20170101.json;demografia paro_registrado afiliacion_residencia afiliacion_cotizacion presupuestos alojamientos_turisticos perfil_turista gastos_medios_turista gastos_medios_turista_dia parque_vehiculos sector_primario;0
mapa_2007;json;https://datos.canarias.es/catalogos/estadisticas/dataset/03f5044c-6d40-4c09-84db-eaf9d6681b48/resource/d765c56b-a67d-46e2-800e-5c9a1e9138f0/download/municipios_20170101_antes2007.json;demografia ;0
dist_mun;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/POBLACION;demografia paro_registrado afiliacion_residencia afiliacion_cotizacion presupuestos alojamientos_turisticos perfil_turista gastos_medios_turista gastos_medios_turista_dia europeas congreso senado autonomicas cabildo municipales parque_vehiculos sector_primario;0
habitantes;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/POBLACION/data?representation=MEASURE%5BABSOLUTE%7CANNUAL_PERCENTAGE_RATE%7CANNUAL_PUNTUAL_RATE%5D&granularity=GEOGRAPHICAL%5BMUNICIPALITIES%5D;demografia ;0
piramide;json;http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?accion=jsonMtd&uuidConsulta=d619ecaa-319c-4d29-a789-b7708fbaf3be;demografia ;0
edad_media;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/POBLACION_EDAD_MEDIA/data?representation=MEASURE%5BABSOLUTE%5D&granularity=GEOGRAPHICAL%5BMUNICIPALITIES%5D;demografia ;0
nacimientos;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/NACIMIENTOS/data?representation=MEASURE%5BABSOLUTE%5D&granularity=GEOGRAPHICAL%5BMUNICIPALITIES%5D/data?representation=GEOGRAPHICAL%2CTIME%2CMEASURE%5BABSOLUTE%5D;demografia ;0
mortalidad;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/TASA_MORTALIDAD/data?representation=MEASURE%5BABSOLUTE%5D&granularity=GEOGRAPHICAL%5BMUNICIPALITIES%5D/data?representation=GEOGRAPHICAL%2CTIME%2CMEASURE%5BABSOLUTE%5D;demografia ;0
crec_veg;json;http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?accion=jsonMtd&uuidConsulta=5012a489-2ef4-4ff2-b1bf-ebf6e4c5f2d2;demografia ;1
