"id_partida";"shortName";"partida"
"G_10";"Gto. pers. dir.";"Gastos personal directivo"
"G_11";"Gto. pers. eventual";"Gastos personal eventual"
"G_12";"Gto. pers. funcionario";"Gastos personal funcionario"
"G_13";"Gto. pers. laboral";"Gastos personal laboral"
"G_14";"Gto. resto pers.";"Gastos resto personal"
"G_15";"Gto. incent. rdto. pers.";"Gastos incentivos rendimiento personal"
"G_16";"Gto. cargo empleador";"Gastos cargo empleador"
"G_20";"Gto. arrend. y cán.";"Gastos arrendamientos y cánones"
"G_21";"Gto. repar. y cons.";"Gastos reparaciones y conservación"
"G_22";"Gto. mat. y sumin.";"Gastos material y suministros"
"G_23";"Gto. indemnización ss.";"Gastos indemnización servicios"
"G_24";"Gto. publicaciones";"Gastos publicaciones"
"G_25";"Gto. trab. otras AAPP";"Gastos trabajos otras AAPP"
"G_26";"Gto. trab. ISFL";"Gastos trabajos ISFL"
"G_27";"Gto. imprevistos";"Gastos imprevistos"
"G_30";"Gto. deuda púb.";"Gastos deuda pública"
"G_31";"Gto. prést.";"Gastos préstamos"
"G_32";"Gto. deuda púb. mon. ext.";"Gastos deuda pública moneda extranjera"
"G_33";"Gto. prést. mon. ext.";"Gastos préstamos moneda extranjera"
"G_34";"Gto. dep. y fian.";"Gastos depósitos y fianzas"
"G_35";"Gto. int. dem. y otros";"Gastos intereses demora y otros"
"G_42";"Transf. a AGE";"Transferencias a Administración General del Estado"
"G_43";"Transf. a SS";"Transferencias a Seguridad Social"
"G_44";"Transf. a EPE";"Transferencias a Entidades Públicas Estatales"
"G_45";"Transf. a CCAA";"Transferencias a CCAA"
"G_46";"Transf. a otras EELL";"Transferencias a otras EELL"
"G_47";"Transf. a emp.";"Transferencias a empresas"
"G_48";"Transf. a fam. e ISFL";"Transferencias a familias e ISFL"
"G_49";"Transf. al ext.";"Transferencias al exterior"
"G_50";"Dot. fondo conting.";"Dotación fondo contingencia"
"G_60";"Inver. infraestr. nueva uso gnal.";"Inversiones infraestructura nueva uso general"
"G_61";"Inver. repo. infraestr. uso gnal.";"Inversiones reposición infraestructura uso general"
"G_62";"Inver. ss. nuevos";"Inversiones servicios nuevos"
"G_63";"Inver. repo. ss.";"Inversiones reposición servicios"
"G_64";"Inver. carácter inmat.";"Inversiones carácter inmaterial"
"G_65";"Inver. gestionada otros entes púb.";"Inversiones gestionada otros entes públicos"
"G_68";"Gto. inver. bb. patrim.";"Gastos inversiones bienes patrimoniales"
"G_69";"Inver. bb. comunales";"Inversiones bienes comunales"
